S.No,"Name, Address & email Id of the Unit",Contact Person Name & Contact No.,Category (Manufacturer / Supplier),Product Name,Stock in Hand (In Nos.),Production Capacity per Week ( In Nos.),Remarks
876,"M/s Kaayastex,234,1st floor, Saraswathi weigh bridge,TKT mill bus stop Opposite,Veerapandi post, Tirupur- 641605kaayastex@gmail.com",K.Arunkumar9715045444,Manufacturer,PPE KITS,0,5000,Full kit manufacturer.
877,"M/s D2D INTERNATIONAL,D.No.6/139-A, MSS Industrial Estate,
Kuppuchipalayam,Allalapuram road,
Veerapandi (Po),Tirupur,
Tamilnadu, India - 641 605.INFO@D2DINTERNATIONAL.COM",SUBBAIYA SASIKUMAR7094449003,Manufacturer,PPE KITS,10000,10000,"D2D IS A LEADING MANUFACTURER AND EXPORTER OF WOVEN & KNITTED GARMENTS, ESTABLISHED IN YEAR 2006.  OUR  WEBSITE IS  www.d2dinternational.com"
878,"M/s D2D INTERNATIONAL,D.No.6/139-A, MSS Industrial Estate,
Kuppuchipalayam,Allalapuram road,
Veerapandi (Po),Tirupur,
Tamilnadu, India - 641 605.INFO@D2DINTERNATIONAL.COM",SUBBAIYA SASIKUMAR7094449003,Manufacturer,KN95 Masks / N95 Masks,0,0,"D2D IS A LEADING MANUFACTURER AND EXPORTER OF WOVEN & KNITTED GARMENTS, ESTABLISHED IN YEAR 2006.  OUR  WEBSITE IS  www.d2dinternational.com"
879,"M/s D2D INTERNATIONAL,D2D  INTERNATIONAL  
6/139-A, MSS Industrial Estate, Kuppuchipalayam, Allalapuram road, Veerapandi PO, Tirupur , Tamil Nadu, India. Pin 641605INFO@D2DINTERNATIONAL.COM",SUBBAIYA SASIKUMAR7094449003,Manufacturer,PPE KITS,10000,10000,"We  Manufacture  of  High quality  'PPE Coverall Dress'   and  'Non-Medical Face Masks'   

We have Passed the Test at SITRA 
vide  UCC Code : S-NW-CA200610P6959-A5B2"
880,"M/s D2D INTERNATIONAL,D2D  INTERNATIONAL  
6/139-A, MSS Industrial Estate, Kuppuchipalayam, Allalapuram road, Veerapandi PO, Tirupur , Tamil Nadu, India. Pin 641605INFO@D2DINTERNATIONAL.COM",SUBBAIYA SASIKUMAR7094449003,Manufacturer,KN95 Masks / N95 Masks,0,0,"We  Manufacture  of  High quality  'PPE Coverall Dress'   and  'Non-Medical Face Masks'   

We have Passed the Test at SITRA 
vide  UCC Code : S-NW-CA200610P6959-A5B2"
881,"M/s SRI DHANALAKSHMI EXPORTS,4/69, KULLA THOTTAM
PALLADAM ROAD
VEERAPANDI POST
TIRUPUR-641605srisdg@gmail.com",Mr.S.Thangamani9345541369,Manufacturer,KN95 Masks / N95 Masks,50000,30000,
882,"M/s BONFAB TEXTILES INDIS PVT LIMITED,SF No. 281/2B, Poomalur Village, Valayapalayam,

Palladam Taluk, Tirupur - 641663bonfabtextiles@gmail.com",BALAMURUGAN9677942424,Manufacturer,3Ply Surgical Masks,50000,350000,Since the enterprises is manufacturing raw material on woven fabric there is no shortage for raw material
883,"M/s DSRTRADERS,NO.9, VINAYAGAPURAM, RAYAPURAM EXTdsrtraders1@gmail.com",DHANDAPANI9843038739,Manufacturer,3Ply Surgical Masks,500000,100000,9944033161
884,"M/s PRIME KNIT FASHION,No-1, 1st Cross Street, Ponnammal Layout, K.P.Pudhur Main Road, Kangayam Road, Tirupur 641604prime@primeknitfashion.in",Udhayakumar9942902999,Manufacturer,3Ply Surgical Masks,1000,10000,WE ARE ALSO DOING COTTON FACE MASK & NON WOVEN FULL SUIT
885,"M/s PRIME KNIT FASHION,No-1, 1st Cross Street, Ponnammal Layout, K.P.Pudhur Main Road, Kangayam Road, Tirupur 641604prime@primeknitfashion.in",Udhayakumar9942902999,Manufacturer,PPE KITS,500,5000,WE ARE ALSO DOING COTTON FACE MASK & NON WOVEN FULL SUIT
886,"M/s N.S.POLY INDUSTRIES,49/24,RAM NAGAR 1ST STREET,
P.N.ROAD, TIRUPUR-641602nspoly.tup@gmail.com",N.SHANMUGAM9944411421,Supplier,Sanitizer (Alcohol Based),100,100,
887,"M/s N.S.POLY INDUSTRIES,49/24,RAM NAGAR 1ST STREET,
P.N.ROAD, TIRUPUR-641602nspoly.tup@gmail.com",N.SHANMUGAM9944411421,Supplier,3Ply Surgical Masks,10000,10000,
888,"M/s INDEXCO,18/17, SHASTRI NAGAR  KOTTAI THOTTAM  TIRUPUR 641602sakthivel@indexco.co.in",SAKTHIVEL9843039592,Manufacturer,PPE KITS,0,24500,PPE COVERALL FOR MEDICAL APPLICATION NON WOVEN LAMINATED WITH SEAM SEALING
889,"M/s STAR SEVEN ELEVEN,G26/1 RAMIYAH STREET,JAIHINPURAM,MADURAI-625011star7eleven@gmail.com",P.NAGA RATHINAM9944428842,Supplier,Pillows,1000,100000,PPE KIT
890,"M/s STAR SEVEN ELEVEN,G26/1 RAMIYAH STREET,JAIHINPURAM,MADURAI-625011star7eleven@gmail.com",P.NAGA RATHINAM9944428842,Supplier,Fowler Cot,10000,10000,PPE KIT
891,"M/s Wiintrack exports,Wiintrack exports,
3rd street appachi nagar,
kongu main road,
tirupur - 641607prithvi@wiintrackexports.com, vel@wiintrackexports.com",K. Velusamy9047466777,Manufacturer,Sanitizer (Alcohol Based),1000,0,"Hi,
We can supply sanitizer based on the need and we need to know the requirements in advance, since the sanitizer has to be imported and we have huge stock.
thanks"
892,"M/s Wiintrack exports,Wiintrack exports,
3rd street appachi nagar,
kongu main road,
tirupur - 641607prithvi@wiintrackexports.com, vel@wiintrackexports.com",K. Velusamy9047466777,Manufacturer,KN95 Masks / N95 Masks,0,0,"Hi,
We can supply sanitizer based on the need and we need to know the requirements in advance, since the sanitizer has to be imported and we have huge stock.
thanks"
893,"M/s Wiintrack exports,Wiintrack exports,
3rd street appachi nagar,
kongu main road,
tirupur - 641607prithvi@wiintrackexports.com, vel@wiintrackexports.com",K. Velusamy9047466777,Manufacturer,3Ply Surgical Masks,5000,5000,"Hi,
We can supply sanitizer based on the need and we need to know the requirements in advance, since the sanitizer has to be imported and we have huge stock.
thanks"
894,"M/s Wiintrack exports,Wiintrack exports,
3rd street appachi nagar,
kongu main road,
tirupur - 641607prithvi@wiintrackexports.com, vel@wiintrackexports.com",K. Velusamy9047466777,Manufacturer,KN95 Masks / N95 Masks,500,100,"Hi,
We can supply sanitizer based on the need and we need to know the requirements in advance, since the sanitizer has to be imported and we have huge stock.
thanks"
895,"M/s Wiintrack exports,Wiintrack exports,
3rd street appachi nagar,
kongu main road,
tirupur - 641607prithvi@wiintrackexports.com, vel@wiintrackexports.com",K. Velusamy9047466777,Manufacturer,PPE KITS,5000,10000,"Hi,
We can supply sanitizer based on the need and we need to know the requirements in advance, since the sanitizer has to be imported and we have huge stock.
thanks"
896,"M/s OM TEXTILES,Sf.No.302/3, Mangalam Road, Andipalayam
Tiruppur 641 687om@omtextiles.com",Ramesh Aravind9363012116,Manufacturer,3Ply Surgical Masks,0,28000,
897,"M/s Skycotton bags,Surabi complex, vadukapatti pirivu,mulanur, dharapuram tk, Tirupursaravananphysics12@gmail.com",Suganthi9566623725,Manufacturer,3Ply Surgical Masks,0,5000,
898,"M/s TWINKLE FASHIONS,180/1, KANGEYAM MAIN ROAD, TIRUPPUR -6account@twinklefashions.com",CHIDAMBARAM9361122666,Manufacturer,3Ply Surgical Masks,100000,35000,
899,"M/s CBC FASHION ASIA PVT LTD,NO.11, MR NAGAR, DHARAPURAM ROAD, TIRUPPUR - 641 608vijay@cbc.co.in",TR Vijaya Kumar9894671005,Manufacturer,PPE KITS,1000,50000,We are producing PPE kits in ssmms non woven fabric and mask in non woven fabrics
900,"M/s CBC FASHION ASIA PVT LTD,NO.11, MR NAGAR, DHARAPURAM ROAD, TIRUPPUR - 641 608vijay@cbc.co.in",TR Vijaya Kumar9894671005,Manufacturer,3Ply Surgical Masks,75000,350000,We are producing PPE kits in ssmms non woven fabric and mask in non woven fabrics
901,"M/s B.K.S.TEXTILES PRIVATE LIMITED,2/316, Kungamapalayam privu, Palladam to Tiruppur Main Road, Naranapuram Post, Palladam, Tiruppur 641664agmoperations.phwp@bkstextiles.in",Senthilkumar8489922934,Manufacturer,3Ply Surgical Masks,0,21000,
902,"M/s B.K.S.TEXTILES PRIVATE LIMITED,2/316, Kungamapalayam privu, Palladam to Tiruppur Main Road, Naranapuram Post, Palladam, Tiruppur 641664agmoperations.phwp@bkstextiles.in",Senthilkumar8489922934,Manufacturer,PPE KITS,0,7000,
903,"M/s SHRI SUBAM TEX,S.F NO 540/2 . OPP. ANBU ILLAM,
RING ROAD. THIRUMURUGAN POONDI POST.
TIRUPPUR -641652  TAMIL NADU.
INDIA.senthil@subam tex.com",Mr SENTHIL .P9443370757,Manufacturer,3Ply Surgical Masks,50000,10000,
904,"M/s SHRI SUBAM TEX,S.F NO 540/2 . OPP. ANBU ILLAM,
RING ROAD. THIRUMURUGAN POONDI POST.
TIRUPPUR -641652  TAMIL NADU.
INDIA.senthil@subam tex.com",Mr SENTHIL .P9443370757,Manufacturer,PPE KITS,1000,5000,
905,"M/s limra overseas,19a saratha nagar  valayankadu   gandhi nagar (po)   tiruppur 641603samsudeen.usa@gmail.com",samsudeen9150300079,Supplier,PPE KITS,100,1000,"DEAR SIR  
3 PLY  MANUFACTURING OF SWING MACHINE ANS PP SHURTS MANUFACTURING AND KN95 IMPORTS FROM CHINA"
906,"M/s limra overseas,19a saratha nagar  valayankadu   gandhi nagar (po)   tiruppur 641603samsudeen.usa@gmail.com",samsudeen9150300079,Supplier,3Ply Surgical Masks,50000,50000,"DEAR SIR  
3 PLY  MANUFACTURING OF SWING MACHINE ANS PP SHURTS MANUFACTURING AND KN95 IMPORTS FROM CHINA"
907,"M/s limra overseas,19a saratha nagar  valayankadu   gandhi nagar (po)   tiruppur 641603samsudeen.usa@gmail.com",samsudeen9150300079,Supplier,KN95 Masks / N95 Masks,100,1000,"DEAR SIR  
3 PLY  MANUFACTURING OF SWING MACHINE ANS PP SHURTS MANUFACTURING AND KN95 IMPORTS FROM CHINA"
908,"M/s STAR SEVEN ELEVEN,G26/1 RAMIYAH STREET,JAIHINPURAM,MADURAI-625011star7eleven@gmail.com",P.NAGA RATHINAM9944428842,Supplier,KN95 Masks / N95 Masks,1000,10000,PPE KIT
909,"M/s Effar Creations,SF.No.381/2, Murugan Nagar Extn, Mangalam Road
Sulthanpettai, Tiruppur 641 663accounts@effarcreations.com",S.Kannappan7708000703,Manufacturer,3Ply Surgical Masks,0,35000,Face Mask - 2 Ply Non Woven
910,"M/s STAR SEVEN ELEVEN,G26/1 RAMIYAH STREET,JAIHINPURAM,MADURAI-625011star7eleven@gmail.com",P.NAGA RATHINAM9944428842,Supplier,3Ply Surgical Masks,10000,10000,PPE KIT
911,"M/s STAR SEVEN ELEVEN,G26/1 RAMIYAH STREET,JAIHINPURAM,MADURAI-625011star7eleven@gmail.com",P.NAGA RATHINAM9944428842,Supplier,PPE KITS,10000,10000,PPE KIT
912,"M/s Rehoboth Textiles LLP,NO.2-177/3,4,6 Sengunther Nagar Periyayipalayam,info@rehobothtextiles.com",Paul Benjamin Sugumaran8148778343,Manufacturer,PPE KITS,15000,60000,"We are manufacturing PPE Coveralls, PPE Boot cover, Face shield to fight this covid-19 pandemic. We have seam sealed taped approved PPE kits with different GSM segment"
913,"M/s APEX FASHIONS,ashok@apexfashions.net",9790026276,Manufacturer,3Ply Surgical Masks,10000,25000,DOUBLE LAYER CLOTH MASK AVAILABLE WITH GOOD QUALITY
914,"M/s SM Textiles,Tirupursmtextiles20@gmail.com",Mothi8883933334,Manufacturer,3Ply Surgical Masks,10000000,500000,
915,"M/s Crown Tex,3/1, vaikal thottam, karumarampalayam, Mannarai(po)
Tirupur -641 607.Crowntex.tup@gmail.com",N. Babu9489944501,Supplier,3Ply Surgical Masks,1000,50000,
916,"M/s SM Textiles,Tirupursmtextiles20@gmail.com",Mothi8883933334,Manufacturer,PPE KITS,60000,60000,
917,"M/s ARAM APPARELS,8/29-D, G.V.Mansion 1st Street, Gandhinagar Post, Tiruppur 641 603director@aram.net.in",M.Kasthuri9677756059,Manufacturer,PPE KITS,0,14000,PPE Kits Coverall suit for medical applications
918,"M/s GOKILA FASHIONS,8/3227,2 NT Street, Jay Ganesh Nagar, Anna Nagar East,Pooluvapatti Post
Tiruppur 641 602JAKJAGA78@GMAIL.COM",Maruthachalam Kaliyappan9842569849,Manufacturer,PPE KITS,0,4200,PPE Kits (Coverall suit for Medical Applications)
919,"M/s BANNARI AMMAN SPINNING MILLS,Home Textile Division
SF.NO.297/2, 293/1A,293/1C, Shed No 58 to A66
Palladam Hitech Weaving Park
Sukkampalayam Village
R.N.Pudhur Post,
Tiruppur 641 6pd.ht@bannarimills.in",V.Arumugam9788852226,Manufacturer,PPE KITS,0,21000,PPE Kits (Coverall suit for Medical Applications)
920,"M/s Harrow Exports,3/15-D, Sri Sakthi Nagar, Athupalayam North, Thirumuruganpoondi Post, Tiruppurveerabahu.s@gmail.com",Abdul Waqas Azeez9600770000,Manufacturer,PPE KITS,0,7000,PPE Kits (Coverall Suit for Medical Applications)
921,"M/s Sri Sidhi Vinayagar Tex,8/189A, Amman Nagar
Pooluvapatti Post
P.N.Road, Tiruppur 641 602manikandans8939@gmail.com",N.Selvaraj9443469892,Manufacturer,PPE KITS,0,4200,PPE Kits (Coverall suit for Medical Applications)
922,"M/s Seven Seas Enterprise,1/47 A Vathiyar Kadu, Kaniyampoondi,
Tirupur -641663HO@7seas.in",Kevin Shah9820170040,Manufacturer,PPE KITS,50000,20000,We have manufacturing in Tirupur and Maharashtra
923,"M/s Value Fashions,87/2, Yela Thottam
Kaliamman Koil Street, 15 Velampalayam
Tiruppur 641 652suresh@valuefashions.in",Sureshkumar9363118449,Manufacturer,PPE KITS,0,7000,PPE Kit - Coverall Suit for Medical Applications
924,"M/s idea property developers,99, mission street, Tiruppur 641604rajamanickambjp@gmail.com",rajamanickam veera7200855666,Supplier,PPE KITS,5000,50000,"WE WILL SUPPLY ALL KIND OF PPE SUITES FOR DOCTORS, PARA MEDICALS, SUPPORTING STAFFS AND FOR ALL NEEDS. SSMMS NON WOVEN PPE SUITES SUPPLIER"
925,"M/s S4 Exports,53/1, K.M.H.S/SCHOOL ROAD, KVR NAGAR WEST, 
KARUVAMPALAYAM, TIRUPUR - 641604s4exportstup@gmail.com",Krishna Murthy9843270518,Manufacturer,PPE KITS,0,2000,
926,"M/s Warner Apparels,Charliji Garden, 41/1C, Sivanathanagar, Kovilvazhi East west Road, Chettipalayam, Dharapuram Road,
Tirupur 641608wasrnerapparels14@gmail.com",DHAYANIDHI9442146602,Manufacturer,PPE KITS,0,14000,NON WOVEN  LAMINATED COVER ALL- NEEDS ENTERPRISE
927,"M/s WARNER APPARELS,Charliji Garden, 41/1C, Sivanathanagar, Kovilvazhi East west Road, Chettipalayam, Dharapuram Road,
Tirupur 641608warnerapparels14@gmail.com",Dhayanidhi9442146602,Manufacturer,3Ply Surgical Masks,0,350000,"3 PLY FACE MASK, REUSABLE KNITTED CLOTH MASK ETC"
928,"M/s VIVID FASHIONS,SF. NO 708/2, THATCHAN THOTTAM, GOVT. HOSPITAL BACK SIDE, DHARAPURAM ROAD, TIRUPUR - 641 608, PH.NO: 0421-4312000, 2253160.vivid@vividfashions.in",K.M. SURESH9894611977,Manufacturer,PPE KITS,100000,25000,Pls. advise your feedback
929,"M/s VIVID FASHIONS,SF. NO 708/2, THATCHAN THOTTAM, GOVT. HOSPITAL BACK SIDE, DHARAPURAM ROAD, TIRUPUR - 641 608, PH.NO: 0421-4312000, 2253160.vivid@vividfashions.in",K.M. SURESH9894611977,Manufacturer,3Ply Surgical Masks,100000,40000,Pls. advise your feedback
930,"M/s SIRUS INFO LINE,S.F NO 200/2G SITE NO.02, ARUL JOTHI NAGAR
VANJIPALAYAM ROAD, TIRUPURsirusinfo@gmail.com",sundar9843175010,Supplier,3Ply Surgical Masks,5000,1000,
931,"M/s MANIGREEVA KNITTERS,S.NO:57,D.NO:1083-R, Chellam Nagar Pirivu
West Andipalayam (PO)
Mangalam Road
TIRUPURinfo@manigreevaknitters.com",P.A.GUHAN RAM9944130300,Manufacturer,3Ply Surgical Masks,50000,25000,
932,"M/s MANIGREEVA KNITTERS,S.NO:57,D.NO:1083-R, Chellam Nagar Pirivu
West Andipalayam (PO)
Mangalam Road
TIRUPURinfo@manigreevaknitters.com",P.A.GUHAN RAM9944130300,Manufacturer,PPE KITS,25000,50000,
933,"M/s Goodwill vanijya pvt Ltd,134 LIC COLONY 1ST STREET
Collage roadVivek@goodwillvanijya.com",Vivek9894325003,Manufacturer,PPE KITS,1000,6000,We are manufacturing of ppe suit.
934,"M/s ASWATHI EXPORTS,9/244 B RAMANA INDUSTRIAL GARDEN RING ROAD 15 VELAMPALAYAM TIRUPPURsekar@aswathiexports.com",C.CHANDRASEKARAN9843042808,Manufacturer,3Ply Surgical Masks,0,90000,
935,"M/s AVISHKA RETAILERS,161/1B AVISHKA GARDEN
GURUNAURAPPAN NAGAR 
POYAMPALAYAM
TIRUPPUR-641602ravi@honeywellcreation.com",RAVICHANDRAN9894221055,Manufacturer,PPE KITS,6000,36000,
936,"M/s AVISHKA RETAILERS,161/1B AVISHKA GARDEN
GURUNAURAPPAN NAGAR 
POYAMPALAYAM
TIRUPPUR-641602ravi@honeywellcreation.com",RAVICHANDRAN9894221055,Manufacturer,KN95 Masks / N95 Masks,0,40000,
937,"M/s SRI KAMATCHI AMMAN GARMENTS,2/226, NASUVANGADU ANNAMARKOVIL NEAR, VAVIPALAYAM  VAVIPALAYAM POST TIRUPPUR
TAMILNADUprakashrajendranpr320@gmail.com",PRAKASH9994410766,Manufacturer,3Ply Surgical Masks,20000,100000,MANUFACTURING MASKS WITH PROPER REQUIREMENTS WITH SOCIAL DISTANCES
938,"M/s SARVESHWARA GARMENTS,2/87, PERIYANDIPALAYAM, MANGALAM ROAD, TIRUPUR 641687sarveswaragarments@gmail.com",RAGUPATHI A9865003300,Manufacturer,PPE KITS,0,3500,
939,"M/s AVISHKA RETAILERS,161/1B AVISHKA GARDEN
GURUNAURAPPAN NAGAR 
POYAMPALAYAM
TIRUPPUR-641602ravi@honeywellcreation.com",RAVICHANDRAN9894221055,Manufacturer,KN95 Masks / N95 Masks,0,60000,
940,"M/s KALAVATHI KNIT FASHIONS,SF.NO 650-1, KULATHUPALAYAM 4TH STREET,
PALLADAM ROAD, TIRUPUR 641605kalavathprints@gmail.com",ARULMURUGAN8870533666,Manufacturer,PPE KITS,0,21000,"SURGICAL KIT (JUMP SET, APRON, CAP, SHOE COVER, MASK, HAND GLOWS"
941,"M/s Anitha Texcot India Private Limited,10 Bridgeway Colony Extn Lakshmi Nagar Tirupuradmin@anithatexcot.com",Elangovan9787746699,Manufacturer,PPE KITS,200000,300000,"we are deling with Trading activity of COVID Testing Kit, Ventilator, K95 Mask,N95 Mask, Pillow cover,Bed Cover, Hospital Equipment and Furniture, Gloves,Goggles"
942,"M/s Anitha Texcot India Private Limited,10 Bridgeway Colony Extn Lakshmi Nagar Tirupuradmin@anithatexcot.com",Elangovan9787746699,Manufacturer,3Ply Surgical Masks,1000000,1000000,"we are deling with Trading activity of COVID Testing Kit, Ventilator, K95 Mask,N95 Mask, Pillow cover,Bed Cover, Hospital Equipment and Furniture, Gloves,Goggles"
943,"M/s Anitha Texcot India Private Limited,10 Bridgeway Colony Extn Lakshmi Nagar Tirupuradmin@anithatexcot.com",Elangovan9787746699,Manufacturer,Hospital Matresses,100,1000,"we are deling with Trading activity of COVID Testing Kit, Ventilator, K95 Mask,N95 Mask, Pillow cover,Bed Cover, Hospital Equipment and Furniture, Gloves,Goggles"
944,"M/s SUNRISE KNITTING MILLS PVT LTD,1/61, KULIVAYAL THOTTAM, KULLEGOUNDENPUDUR
ANDIPALAYM,
TIRUPUR - 641687kannan@sunrisemills.in",KANNAN9566612345,Manufacturer,PPE KITS,0,14000,NON WOVEN LAMINATED PPE COVERALL SUITS
945,"M/s AK GARMENTSS,2/418 A.6 , DHANALAKSHMI NAGAR 
ANDIPALAYAM 
TIRUPUR-641687kirshnan3937@gmail.com",krishnan9994052475,Manufacturer,3Ply Surgical Masks,100000,300000,3 PLY MASK NON WOVEN  GSM 20+20+20 3 LAYER
946,"M/s Shining Star Garments,No.12/7, Kandhasamy Layout, 1st Street,
Pichampalayam, Tiruppur 641 603shiningstargarments@gmail.com",P.Arulkumar9150251875,Manufacturer,3Ply Surgical Masks,0,21000,Face Mask - Knitted Single Layer 180 GSM
947,"M/s D.S.P.International,SF.No.242/1/A, Karaipudur Road, Chinnakarai
Tiruppur 641 605sakthi@dspinternational.in",A.Sakthivel9943061016,Manufacturer,PPE KITS,0,5600,PPE  Kits
948,"M/s S4 EXPORT,53/1 K.M.H.S.SCH00L ROAD, K.V.R. NAGAR WEST,  KARUVAMPALAYAM ,
TIRUPURs4exportstup@gmail.com",Krishna Murthy9843270518,Manufacturer,PPE KITS,0,2000,"Respected Sir,
We are manufacturer of PPE Kit. We are interested to supply PPE kit. Please consider us a your supplier.
Thanks and Regards,
Krishna Murthy"
949,"M/s AVISHKA RETAILERS,161/1B AVISHKA GARDEN
GURUNAURAPPAN NAGAR 
POYAMPALAYAM
TIRUPPUR-641602ravi@honeywellcreation.com",RAVICHANDRAN9894221055,Manufacturer,3Ply Surgical Masks,200000,1200000,
950,"M/s LIMRA OVERSEAS,19A SARATHA NAGAR VALAYANKADU GANDHI NAGAR POST TIRUPPURSAMSUDEEN.USA@GMAIL.COM",SAMSUDEEN9150300079,Supplier,3Ply Surgical Masks,50000,100000,3PLY NON WOVEN 25GSM FABRIC MASK WE ARE PRODUTION   KINDLY INFROMED
951,"M/s HARSHITHA HOSIERIES,17/27, SIVASAKTHI NAGAR, 15 VELAMPALAYAM TIRUPURkumar@uniformmaster.in",KUMAR T9790034111,Manufacturer,3Ply Surgical Masks,50000,200000,3Ply
952,"M/s ALA APPAREL,25-B, 3/375,  Tirupur Road,
Perumanallursenthilraj@rabapparel.com",SENTHILRAJ. S9600811111,Manufacturer,PPE KITS,0,9000,
953,"M/s PEQY INTERNATIONAL,SF.NO 321, OLD NO.4, NEW NO.8
A.K.NAGAR, KARUMARAMPALAYAM,
MANNARAI POST
TIRUPUR  641607shyam@peqyinternational.com",BHARAT KUMAR SHYAM9360534135,Manufacturer,3Ply Surgical Masks,0,35000,woven cloth 2 layer reusable face mask
954,"M/s SRI KAMATCHI AMMAN GARMENTS,2/226, NASUVANGADU ANNAMARKOVIL NEAR, VAVIPALAYAM  VAVIPALAYAM POST TIRUPPUR
TAMILNADUprakashrajendranpr320@gmail.com",PRAKASH9994410766,Manufacturer,3Ply Surgical Masks,20000,100000,MANUFACTURING MASKS WITH PROPER REQUIREMENTS WITH SOCIAL DISTANCES
955,"M/s SHREE AMMAN KNITS,2/50, Opp Janadha Mandram Periyayeepalayam Post
Avinashi Taluk,Tiruppur 641 654karthiadhav10@gmail.com",KARTHIKEYAN9994857877,Manufacturer,PPE KITS,0,4200,PPE Kits (Coverall Suit for Medical Applications)
956,"M/s BANNARI AMMAN SPINNING MILLS,Home Textile Division
SF.NO.297/2, 293/1A,293/1C, Shed No 58 to A66
Palladam Hitech Weaving Park
Sukkampalayam Village
R.N.Pudhur Post,
Tiruppur 641 6pd.ht@bannarimills.in",V.Arumugam9788852226,Manufacturer,3Ply Surgical Masks,0,35000,
957,"M/s BLUE BREEZE ENTERPRISE,D.No.1-726, SF.No.4/468/1A
Meenakshi Nagar, Mudalipalayam Village
Tiruppur 641 606hrd2@bluebreeze.in",Balaji Gnanakrishnan9786649797,Manufacturer,PPE KITS,0,4200,PPE Kits (Coverall suit for Medical Applications)
958,"M/s Top Light Brands Private limited,10/627, Palladam Road, Kunnangalpalayam,
Tirupur 641 605md@toplightbrands.in",P.Duraisamy9787444488,Manufacturer,3Ply Surgical Masks,0,35000,
959,"M/s ESPLANDEA INCORPORATION,7/3, ATHIKADU,KARUNAMPATHI PO,PERUMANALLUR
TIRUPUR,TIRUPPUR,TAMIL NADU , 641666ravi@esplandeaincorporation.com",Raviprasad9600260878,Manufacturer,PPE KITS,100000,25000,PPE KIT MANUFACTURER IN TIRUPUR
960,"M/s MENORAH  BUSINESS SOLUTIONS,TKW MANSION
SAP THEATRE 
TIRUPURmenorahtech@gmail.com",ALAGARSAMY T9843814321,Supplier,3Ply Surgical Masks,25000,10000,
961,"M/s Golf Fashion Knits Pvt Ltd,4/22C, MGR Nagar 4th Street
P.N.Road, Tiruppur 641 602raj@golffashion.in",S.Rajendran9994279944,Manufacturer,PPE KITS,0,1400,PPE Kits (Coverall suit for Medical Applications)
962,"M/s Menorah Business Solutions,#10 SAP Theater Backside
Avinashi Road
Tirupurmenorahtech@gmail.com",Alagarsamy T9843814321,Supplier,PPE KITS,,,"Desr Sir, We are  Supplier"
963,"M/s Menorah Business Solutions,#10 SAP Theater Backside
Avinashi Road
Tirupurmenorahtech@gmail.com",Alagarsamy T9843814321,Supplier,3Ply Surgical Masks,,,"Desr Sir, We are  Supplier"
964,"M/s VSN TEX,195,SURIYA GANDHI ST, SAMUINDIIPURAM, GANDHI NAGAR PO, TIRUPUR-641603sathish3kumar@gmail.com",Sathishkumar7708365966,Manufacturer,3Ply Surgical Masks,25000,400000,"DOING FOR COVID19, IN THE MANNER OF HELPING PEOPLE."
965,"M/s VSN TEX,195,SURIYA GANDHI ST, SAMUINDIIPURAM, GANDHI NAGAR PO, TIRUPUR-641603sathish3kumar@gmail.com",Sathishkumar7708365966,Manufacturer,PPE KITS,1000,3500,"DOING FOR COVID19, IN THE MANNER OF HELPING PEOPLE."
966,"M/s VELAN GARMENTS,298, OTTAN THOTTAM,
DHANALAKSHMI NAGAR BUS STOP
ANDIPALAYM,
TIRUPUR 641687,velangarmentstup@gmail.com",RAMAJAYAM9944443387,Manufacturer,PPE KITS,0,3500,
967,"M/s Spring mobiles,8/1121mummoorthi nagercoil
PooluvapattiG.ASHOK6737@GMAIL.COM",Ashokkumar7871116540,Supplier,3Ply Surgical Masks,500000,100000,Plz contact me my no 7871116540
968,"M/s HIMAALAYAA EXPORT,P.N Road. Tirupurgmhimalayaexport@gmail.com",K.PALANIVEL9566557799,Manufacturer,PPE KITS,5000,15000,"Per day capacity 2000 kit .
Stock Available.9443249585"
969,"M/s Sri Murugan Exports,Tirupursrimuruganexports1106@gmail.com",Kamaleshwaran8870358965,Supplier,3Ply Surgical Masks,500000,120000,Very urgently
970,"M/s TORAM EXPORTS PVT LTD,SF.No. 5, Asher nagar 1st Street, Alamelu Industrial Complex, Tirupurhrd@toram.in",RAVINDRANATH J9894664599,Manufacturer,PPE KITS,0,70000,PPE COVERALL WITH SHOE COVER ( NON WOVEN FABRIC)
971,"M/s N.S.POLY INDUSTRIES,No.38, A.V.M.NAGAR, SAMUNDIPURAMnspoly.tup@gmail.com",N.SHANMUGAM9944411421,Manufacturer,3Ply Surgical Masks,10000,10000,We are manufacturers of Masks and medical kit Packing goods. Kindly issue the permit. Thank you
972,"M/s Sathyam textiles,2 nd street, bss road , near uthukulai main road , tirupursathyamtextiles@gmail.com",Sathish9791399777,Manufacturer,PPE KITS,10000,50000,Ppe kits for medical application
973,"M/s AEKAYS,NO-2 M.G.R.Nagar, 3rd Street
P.N.Road, Tirupur - 641 602.aekays@exceldeals.com",G.M Dhamodharan9344597000,Manufacturer,KN95 Masks / N95 Masks,0,10000,
974,"M/s Golcha Garments,2/54C, Thaneer Pandal Colony, Gandhi Road, Anupparpalayam Tiruppur 641 652golcha@golcha_garments.com",Gowtam Chand Jain9994464836,Manufacturer,PPE KITS,0,7000,PPE Kit
